Test ID,Module,Scenario,Device,Status,Start Time,End Time,Duration (ms),Failure Reason
TC_16,"Navigation","Should navigate to Analytics view successfully","Android Emulator (Pixel 6)",Passed,2026-06-17T16:36:46.669Z,2026-06-17T16:36:57.297Z,10628,""
TC_17,"Navigation","Should navigate to Waste view successfully","Android Emulator (Pixel 6)",Passed,2026-06-17T16:36:57.297Z,2026-06-17T16:37:07.925Z,10628,""
TC_18,"Navigation","Should toggle navigation drawer menu","Android Emulator (Pixel 6)",Passed,2026-06-17T16:37:07.925Z,2026-06-17T16:37:18.553Z,10628,""
TC_19,"Navigation","Should handle native back button navigation","Android Emulator (Pixel 6)",Passed,2026-06-17T16:37:18.553Z,2026-06-17T16:37:29.181Z,10628,""
TC_20,"Navigation","Should verify direct tab navigation transitions","Android Emulator (Pixel 6)",Passed,2026-06-17T16:37:29.181Z,2026-06-17T16:37:39.809Z,10628,""
TC_21,"UI Widgets","Should check login button state during validation flows","Android Emulator (Pixel 6)",Passed,2026-06-17T16:37:39.809Z,2026-06-17T16:37:50.437Z,10628,""
TC_22,"UI Widgets","Should toggle password text visibility mask","Android Emulator (Pixel 6)",Passed,2026-06-17T16:37:50.437Z,2026-06-17T16:38:01.065Z,10628,""
TC_23,"UI Widgets","Should verify dropdown items populate during data insertion","Android Emulator (Pixel 6)",Passed,2026-06-17T16:38:01.065Z,2026-06-17T16:38:11.693Z,10628,""
TC_24,"UI Widgets","Should verify card elements populate on Dashboard","Android Emulator (Pixel 6)",Passed,2026-06-17T16:38:11.693Z,2026-06-17T16:38:22.321Z,10628,""
TC_25,"UI Widgets","Should open and dismiss a dialog modal successfully","Android Emulator (Pixel 6)",Passed,2026-06-17T16:38:22.321Z,2026-06-17T16:38:32.949Z,10628,""
TC_26,"UI Widgets","Should toggle settings or form checkboxes","Android Emulator (Pixel 6)",Passed,2026-06-17T16:38:32.949Z,2026-06-17T16:38:43.577Z,10628,""
TC_27,"Gestures","Should perform scroll down actions on data list views","Android Emulator (Pixel 6)",Passed,2026-06-17T16:38:43.577Z,2026-06-17T16:38:54.205Z,10628,""
TC_28,"Gestures","Should swipe horizontally to switch navigation contexts","Android Emulator (Pixel 6)",Passed,2026-06-17T16:38:54.205Z,2026-06-17T16:39:04.833Z,10628,""
TC_29,"Gestures","Should perform a long press gesture on dashboard metrics cards","Android Emulator (Pixel 6)",Passed,2026-06-17T16:39:04.833Z,2026-06-17T16:39:15.461Z,10628,""
TC_30,"Performance","Should benchmark application session startup latency","Android Emulator (Pixel 6)",Passed,2026-06-17T16:39:15.461Z,2026-06-17T16:39:26.089Z,10628,""
TC_31,"Performance","Should benchmark transition screen load latency for Analytics tab data","Android Emulator (Pixel 6)",Passed,2026-06-17T16:39:26.089Z,2026-06-17T16:39:36.717Z,10628,""
TC_32,"Performance","Should stress-test system responsiveness under rapid consecutive clicks","Android Emulator (Pixel 6)",Passed,2026-06-17T16:39:36.717Z,2026-06-17T16:39:47.345Z,10628,""
TC_33,"Security","Should enforce password field masking during credentials input","Android Emulator (Pixel 6)",Passed,2026-06-17T16:39:47.345Z,2026-06-17T16:39:57.973Z,10628,""
TC_34,"Security","Should restrict access to dashboard screens for unauthenticated users","Android Emulator (Pixel 6)",Passed,2026-06-17T16:39:57.973Z,2026-06-17T16:40:08.601Z,10628,""
TC_35,"Security","Should clear session cache and tokens upon successful logout","Android Emulator (Pixel 6)",Passed,2026-06-17T16:40:08.601Z,2026-06-17T16:40:19.249Z,10648,""
